id,account_code,account_name,account_type,is_control_account,status
07f8c468-bf98-4663-880f-a37a5c54716e,1000,Cash,asset,false,active
2c1294ed-8e9b-4b1c-a520-fc28b2cd720d,1010,Bank,asset,false,active
40496d06-7bee-462a-b75e-a94f2f231d68,1100,Accounts Receivable,asset,true,active
7d070ab2-d6dc-44ae-b7e5-34b667e794b0,1200,Inventory Asset,asset,true,active
ad97a617-2cd4-47db-bddc-654fd33ea331,2000,Accounts Payable,liability,true,active
c45e4a3e-8088-443c-9cc3-25c57a96f90c,2100,GST Payable,liability,true,active
6b6a1246-d672-4f6b-b20e-1968ea6e08d1,3000,Owner Capital,equity,false,active
b2a3cff6-0ded-4c31-bc93-a0a5b4424820,4000,Product Sales,income,false,active
231be37a-d192-4391-8a0e-e4ba57b44fa1,5000,Cost of Goods Sold,cogs,false,active
9311ff52-21a7-4281-bc07-2d2472b3e139,6000,Inventory Loss,expense,false,active
b73c1971-0d79-4067-87aa-999d7cc3bf83,6100,Packaging Expense,expense,false,active
c9461176-ebf4-40e4-bdb6-8567ee32c161,6200,Shipping Expense,expense,false,active
9962bfb4-77d9-4cdf-adce-29442baa24ae,6300,Marketing Expense,expense,false,active
