Journal Number,Invoice Number,Journal Date,Account,Line Type,Posted Amount,Debit Amount,Credit Amount,Status,Narration,Created At
JE-20260509143150,FPK3HBDL-0001,2026-05-09,6300 - Marketing Expense,Debit,1375.02,1375.02,0,posted,taken the OpenAI art subscription for a month,2026-05-09T14:31:51.024322+00:00
JE-20260509143150,FPK3HBDL-0001,2026-05-09,1010 - Bank,Credit,1375.02,0,1375.02,posted,taken the OpenAI art subscription for a month,2026-05-09T14:31:51.024322+00:00
JE-20260506213844,NA,2025-10-01,1000 - Cash,Debit,150000,150000,0,posted,Capital Investment  150000,2026-05-06T21:38:44.784505+00:00
JE-20260506213844,NA,2025-10-01,3000 - Owner Capital,Credit,150000,0,150000,posted,Capital Investment  150000,2026-05-06T21:38:44.784505+00:00
JE-20260506213715,NA,2025-10-26,1200 - Inventory Asset,Debit,11825,11825,0,posted,Stocks bought from Other Shop,2026-05-06T21:37:16.018866+00:00
JE-20260506213715,NA,2025-10-26,1000 - Cash,Credit,11825,0,11825,posted,Stocks bought from Other Shop,2026-05-06T21:37:16.018866+00:00
JE-20260506213631,SLB-1182,2025-10-25,1200 - Inventory Asset,Debit,50000,50000,0,posted,Stocks bought from Almas,2026-05-06T21:36:31.392828+00:00
JE-20260506213631,SLB-1182,2025-10-25,1000 - Cash,Credit,50000,0,50000,posted,Stocks bought from Almas,2026-05-06T21:36:31.392828+00:00
JE-20260506213529,SLB-1201,2025-10-26,1200 - Inventory Asset,Debit,5610,5610,0,posted,Stocks bought from Almas,2026-05-06T21:35:29.630307+00:00
JE-20260506213529,SLB-1201,2025-10-26,1000 - Cash,Credit,5610,0,5610,posted,Stocks bought from Almas,2026-05-06T21:35:29.630307+00:00
JE-20260506213421,RCC/26-27/0178,2026-05-03,1200 - Inventory Asset,Debit,55550,55550,0,posted,Stocks bought from RCC,2026-05-06T21:34:21.367265+00:00
JE-20260506213421,RCC/26-27/0178,2026-05-03,1000 - Cash,Credit,55550,0,55550,posted,Stocks bought from RCC,2026-05-06T21:34:21.367265+00:00
JE-20260506201651,005,2026-01-19,1010 - Bank,Debit,2600,2600,0,posted,Sale invoice 005,2026-05-06T20:16:51.169512+00:00
JE-20260506201651,005,2026-01-19,4000 - Product Sales,Credit,2600,0,2600,posted,Sale invoice 005,2026-05-06T20:16:51.169512+00:00
JE-20260506201651,005,2026-01-19,5000 - Cost of Goods Sold,Debit,1400,1400,0,posted,Sale invoice 005,2026-05-06T20:16:51.169512+00:00
JE-20260506201651,005,2026-01-19,1200 - Inventory Asset,Credit,1400,0,1400,posted,Sale invoice 005,2026-05-06T20:16:51.169512+00:00
JE-20260506201520,004,2026-01-19,1010 - Bank,Debit,2000,2000,0,posted,Sale invoice 004,2026-05-06T20:15:20.369569+00:00
JE-20260506201520,004,2026-01-19,4000 - Product Sales,Credit,2000,0,2000,posted,Sale invoice 004,2026-05-06T20:15:20.369569+00:00
JE-20260506201520,004,2026-01-19,5000 - Cost of Goods Sold,Debit,1400,1400,0,posted,Sale invoice 004,2026-05-06T20:15:20.369569+00:00
JE-20260506201520,004,2026-01-19,1200 - Inventory Asset,Credit,1400,0,1400,posted,Sale invoice 004,2026-05-06T20:15:20.369569+00:00
JE-20260506201443,003,2026-01-19,1010 - Bank,Debit,5220,5220,0,posted,Sale invoice 003,2026-05-06T20:14:43.607667+00:00
JE-20260506201443,003,2026-01-19,4000 - Product Sales,Credit,5220,0,5220,posted,Sale invoice 003,2026-05-06T20:14:43.607667+00:00
JE-20260506201443,003,2026-01-19,5000 - Cost of Goods Sold,Debit,3190,3190,0,posted,Sale invoice 003,2026-05-06T20:14:43.607667+00:00
JE-20260506201443,003,2026-01-19,1200 - Inventory Asset,Credit,3190,0,3190,posted,Sale invoice 003,2026-05-06T20:14:43.607667+00:00
JE-20260506201328,002,2026-01-19,1010 - Bank,Debit,5220,5220,0,posted,Sale invoice 002,2026-05-06T20:13:28.219696+00:00
JE-20260506201328,002,2026-01-19,4000 - Product Sales,Credit,5220,0,5220,posted,Sale invoice 002,2026-05-06T20:13:28.219696+00:00
JE-20260506201328,002,2026-01-19,5000 - Cost of Goods Sold,Debit,3190,3190,0,posted,Sale invoice 002,2026-05-06T20:13:28.219696+00:00
JE-20260506201328,002,2026-01-19,1200 - Inventory Asset,Credit,3190,0,3190,posted,Sale invoice 002,2026-05-06T20:13:28.219696+00:00
JE-20260506201254,001,2026-01-19,1010 - Bank,Debit,4000,4000,0,posted,Sale invoice 001,2026-05-06T20:12:54.594753+00:00
JE-20260506201254,001,2026-01-19,4000 - Product Sales,Credit,4000,0,4000,posted,Sale invoice 001,2026-05-06T20:12:54.594753+00:00
JE-20260506201254,001,2026-01-19,5000 - Cost of Goods Sold,Debit,3190,3190,0,posted,Sale invoice 001,2026-05-06T20:12:54.594753+00:00
JE-20260506201254,001,2026-01-19,1200 - Inventory Asset,Credit,3190,0,3190,posted,Sale invoice 001,2026-05-06T20:12:54.594753+00:00
